station,date,prcp,tobs
USC00514830,5/12/2010,0,71
USC00514830,6/12/2010,0,64
USC00514830,7/12/2010,0,71
USC00514830,8/12/2010,0,62
USC00514830,9/12/2010,0.12,70
USC00514830,10/12/2010,2.01,64
USC00514830,11/12/2010,0.26,64
USC00514830,12/12/2010,0.01,70
USC00514830,13/12/2010,0.65,70
USC00514830,14/12/2010,0,69
USC00514830,15/12/2010,0,72
USC00514830,16/12/2010,0,68
USC00514830,17/12/2010,0,68
USC00514830,18/12/2010,0,65
USC00514830,19/12/2010,2.43,67
USC00514830,20/12/2010,2.55,68
USC00514830,21/12/2010,0.49,70
USC00514830,22/12/2010,0.05,67
USC00514830,23/12/2010,0.02,73
USC00514830,24/12/2010,0,70
USC00514830,26/12/2010,,68
USC00514830,27/12/2010,0.15,72
USC00514830,28/12/2010,0.96,69
USC00514830,29/12/2010,0.01,71
USC00514830,30/12/2010,0.05,70
USC00514830,31/12/2010,0,75
USC00514830,1/12/2011,0.04,70
USC00514830,2/12/2011,0.24,68
USC00514830,3/12/2011,0.02,73
USC00514830,4/12/2011,0,71
USC00514830,5/12/2011,0,71
USC00514830,6/12/2011,0,70
USC00514830,7/12/2011,0.04,70
USC00514830,8/12/2011,0,70
USC00514830,9/12/2011,0.02,70
USC00514830,10/12/2011,0.36,72
USC00514830,12/12/2011,,74
USC00514830,13/12/2011,0.47,71
USC00514830,14/12/2011,0.1,70
USC00514830,15/12/2011,0.04,70
USC00514830,16/12/2011,0.07,69
USC00514830,18/12/2011,,71
USC00514830,19/12/2011,0.16,70
USC00514830,20/12/2011,0.05,70
USC00514830,21/12/2011,0.25,72
USC00514830,22/12/2011,0.12,72
USC00514830,24/12/2011,,72
USC00514830,26/12/2011,,72
USC00514830,27/12/2011,0.03,72
USC00514830,29/12/2011,,70
USC00514830,30/12/2011,0,66
USC00514830,31/12/2011,0.08,71
USC00514830,1/12/2012,0,68
USC00514830,3/12/2012,,79
USC00514830,4/12/2012,0,76
USC00514830,5/12/2012,0.08,73
USC00514830,6/12/2012,0,75
USC00514830,7/12/2012,0,71
USC00514830,10/12/2012,,76
USC00514830,11/12/2012,0,74
USC00514830,12/12/2012,0.03,73
USC00514830,13/12/2012,0.25,73
USC00514830,14/12/2012,0.22,74
USC00514830,17/12/2012,,73
USC00514830,18/12/2012,0.22,72
USC00514830,19/12/2012,0.29,76
USC00514830,21/12/2012,,75
USC00514830,22/12/2012,0,77
USC00514830,24/12/2012,,74
USC00514830,26/12/2012,,76
USC00514830,28/12/2012,,75
USC00514830,31/12/2012,,76
USC00514830,2/12/2013,,73
USC00514830,3/12/2013,0.2,75
USC00514830,4/12/2013,0,73
USC00514830,5/12/2013,0,73
USC00514830,6/12/2013,0.05,74
USC00514830,7/12/2013,0.04,78
USC00514830,8/12/2013,0,78
USC00514830,9/12/2013,0,78
USC00514830,10/12/2013,0.05,75
USC00514830,11/12/2013,0,75
USC00514830,12/12/2013,0,75
USC00514830,13/12/2013,0.07,74
USC00514830,14/12/2013,0,77
USC00514830,16/12/2013,,72
USC00514830,17/12/2013,0,72
USC00514830,18/12/2013,0.02,73
USC00514830,19/12/2013,0.52,71
USC00514830,20/12/2013,0.1,75
USC00514830,21/12/2013,0.07,76
USC00514830,23/12/2013,,74
USC00514830,24/12/2013,0,75
USC00514830,26/12/2013,,74
USC00514830,27/12/2013,0.03,75
USC00514830,28/12/2013,0.01,73
USC00514830,29/12/2013,0,72
USC00514830,30/12/2013,0,72
USC00514830,31/12/2013,0.23,75
USC00514830,1/12/2014,0,74
USC00514830,2/12/2014,0,74
USC00514830,3/12/2014,0.24,72
USC00514830,4/12/2014,1.51,73
USC00514830,5/12/2014,0.26,70
USC00514830,6/12/2014,0.48,76
USC00514830,8/12/2014,,78
USC00514830,9/12/2014,0,76
USC00514830,10/12/2014,0,78
USC00514830,11/12/2014,0.1,74
USC00514830,12/12/2014,0.07,71
USC00514830,13/12/2014,0,78
USC00514830,15/12/2014,,70
USC00514830,16/12/2014,0,74
USC00514830,17/12/2014,0.01,74
USC00514830,18/12/2014,0.03,75
USC00514830,19/12/2014,0.01,76
USC00514830,20/12/2014,0,78
USC00514830,22/12/2014,,72
USC00514830,23/12/2014,0.58,73
USC00514830,25/12/2014,,76
USC00514830,29/12/2014,,72
USC00514830,31/12/2014,,72
USC00514830,1/12/2015,0,78
USC00514830,2/12/2015,0,76
USC00514830,3/12/2015,0.17,76
USC00514830,4/12/2015,0.03,77
USC00514830,7/12/2015,,79
USC00514830,8/12/2015,0.05,73
USC00514830,9/12/2015,0.02,79
USC00514830,10/12/2015,0.12,77
USC00514830,11/12/2015,0.03,78
USC00514830,12/12/2015,0.17,76
USC00514830,13/12/2015,0,78
USC00514830,14/12/2015,0.05,77
USC00514830,15/12/2015,0,79
USC00514830,16/12/2015,0.05,75
USC00514830,17/12/2015,0.13,77
USC00514830,18/12/2015,0.08,76
USC00514830,19/12/2015,0.18,78
USC00514830,21/12/2015,,78
USC00514830,22/12/2015,0.13,77
USC00514830,23/12/2015,0.1,78
USC00514830,25/12/2015,,78
USC00514830,27/12/2015,,76
USC00514830,28/12/2015,0.21,75
USC00514830,29/12/2015,0.01,72
USC00514830,1/12/2016,0.07,75
USC00514830,2/12/2016,0.4,77
USC00514830,3/12/2016,0.26,75
USC00514830,4/12/2016,0,77
USC00514830,5/12/2016,0.2,76
USC00514830,7/12/2016,,76
USC00514830,8/12/2016,0.02,75
USC00514830,9/12/2016,0.26,72
USC00514830,10/12/2016,0,76
USC00514830,12/12/2016,,75
USC00514830,13/12/2016,0.34,72
USC00514830,14/12/2016,0.12,72
USC00514830,15/12/2016,0.07,75
USC00514830,16/12/2016,0,69
USC00514830,17/12/2016,0,75
USC00514830,18/12/2016,0.04,74
USC00514830,19/12/2016,0,78
USC00514830,20/12/2016,0,77
USC00514830,21/12/2016,0.09,76
USC00514830,22/12/2016,0.05,72
USC00514830,23/12/2016,0.03,73
USC00514830,24/12/2016,0.13,74
USC00514830,26/12/2016,,74
USC00514830,27/12/2016,0.02,74
USC00514830,28/12/2016,0.01,73
USC00514830,29/12/2016,0.56,73
USC00514830,30/12/2016,0.29,71
USC00514830,31/12/2016,0.36,72
USC00517948,1/12/2010,0.7,72
USC00517948,2/12/2010,0.26,75
USC00517948,6/12/2010,0,66
USC00517948,7/12/2010,0,66
USC00517948,8/12/2010,0,67
USC00517948,9/12/2010,0.02,76
USC00517948,10/12/2010,1.75,68
USC00517948,13/12/2010,0,69
USC00517948,14/12/2010,0,71
USC00517948,15/12/2010,0,70
USC00517948,16/12/2010,0,68
USC00517948,17/12/2010,0,66
USC00517948,1/12/2011,0,69
USC00517948,2/12/2011,0,69
USC00517948,5/12/2011,0,71
USC00517948,6/12/2011,0,72
USC00517948,7/12/2011,0.07,69
USC00517948,8/12/2011,0.05,72
USC00517948,9/12/2011,0.16,70
USC00517948,12/12/2011,,76
USC00517948,13/12/2011,2.8,69
USC00517948,14/12/2011,0.86,71
USC00517948,15/12/2011,0.02,72
USC00517948,16/12/2011,,71
USC00517948,3/12/2012,0,78
USC00517948,4/12/2012,0,73
USC00517948,5/12/2012,0.02,74
USC00517948,6/12/2012,,68
USC00517948,7/12/2012,,71
USC00517948,10/12/2012,0,76
USC00517948,11/12/2012,0,75
USC00517948,12/12/2012,0,74
USC00517948,13/12/2012,0.04,73
USC00517948,14/12/2012,0.07,73
USC00517948,27/12/2012,,74
USC00517948,28/12/2012,,69
USC00517948,2/12/2013,,74
USC00517948,3/12/2013,,72
USC00517948,4/12/2013,,70
USC00517948,5/12/2013,0,67
USC00517948,6/12/2013,0.02,69
USC00517948,9/12/2013,,73
USC00517948,10/12/2013,0,75
USC00517948,11/12/2013,0,74
USC00517948,12/12/2013,0,72
USC00517948,13/12/2013,0,71
USC00517948,16/12/2013,,67
USC00517948,17/12/2013,0.02,74
USC00517948,18/12/2013,,70
USC00517948,19/12/2013,,70
USC00517948,20/12/2013,,70
USC00517948,23/12/2013,,71
USC00517948,24/12/2013,,70
USC00517948,26/12/2013,,71
USC00517948,27/12/2013,0,71
USC00517948,28/12/2013,,68
USC00517948,1/12/2014,0.28,74
USC00517948,2/12/2014,0,75
USC00517948,3/12/2014,0.05,74
USC00517948,4/12/2014,0.15,77
USC00517948,5/12/2014,,76
USC00517948,8/12/2014,,77
USC00517948,9/12/2014,,75
USC00517948,10/12/2014,0,76
USC00517948,11/12/2014,0.06,75
USC00517948,15/12/2014,0.1,77
USC00517948,16/12/2014,,75
USC00517948,17/12/2014,,77
USC00517948,18/12/2014,,74
USC00517948,19/12/2014,,78
USC00517948,22/12/2014,0.04,77
USC00517948,23/12/2014,0.1,76
USC00517948,24/12/2014,0.02,69
USC00517948,26/12/2014,0,70
USC00517948,29/12/2014,,64
USC00517948,30/12/2014,0,75
USC00517948,1/12/2015,,69
USC00517948,2/12/2015,0.28,65
USC00517948,3/12/2015,,76
USC00517948,4/12/2015,,81
USC00517948,8/12/2015,,71
USC00517948,9/12/2015,,71
USC00517948,10/12/2015,,71
USC00517948,16/12/2015,,82
USC00517948,17/12/2015,,74
USC00517948,18/12/2015,0.11,75
USC00517948,24/12/2015,,77
USC00517948,27/12/2015,,74
USC00517948,28/12/2015,,68
USC00517948,1/12/2016,,72
USC00517948,2/12/2016,,70
USC00517948,5/12/2016,,68
USC00517948,6/12/2016,,74
USC00517948,7/12/2016,,71
USC00517948,8/12/2016,0.27,70
USC00517948,9/12/2016,,70
USC00517948,12/12/2016,0.02,70
USC00517948,13/12/2016,,68
USC00517948,14/12/2016,,68
USC00517948,15/12/2016,,68
USC00517948,16/12/2016,,66
USC00517948,19/12/2016,,71
USC00517948,20/12/2016,,76
USC00517948,21/12/2016,0.06,73
USC00517948,22/12/2016,,70
USC00517948,23/12/2016,,68
USC00517948,28/12/2016,,71
USC00517948,29/12/2016,,71
USC00517948,30/12/2016,,68
USC00518838,2/12/2010,,71
USC00518838,3/12/2010,0.78,70
USC00518838,5/12/2010,,73
USC00518838,6/12/2010,0.02,78
USC00518838,7/12/2010,0.02,76
USC00518838,8/12/2010,0.33,73
USC00518838,9/12/2010,1.43,74
USC00518838,10/12/2010,2.5,63
USC00518838,11/12/2010,1.5,72
USC00518838,13/12/2010,,75
USC00518838,14/12/2010,0.13,74
USC00518838,15/12/2010,0.1,72
USC00518838,16/12/2010,0.05,68
USC00518838,3/12/2012,,74
USC00518838,6/12/2012,,73
USC00518838,17/12/2013,,73
USC00518838,19/12/2013,,72
USC00518838,20/12/2013,0.16,73
USC00518838,23/12/2013,,72
USC00519523,1/12/2010,0.03,78
USC00519523,2/12/2010,0.02,74
USC00519523,3/12/2010,0.01,74
USC00519523,4/12/2010,0,78
USC00519523,5/12/2010,0,78
USC00519523,6/12/2010,0,61
USC00519523,7/12/2010,0,69
USC00519523,8/12/2010,0.15,65
USC00519523,9/12/2010,0.03,77
USC00519523,10/12/2010,2.02,67
USC00519523,11/12/2010,0.3,69
USC00519523,12/12/2010,0.09,75
USC00519523,13/12/2010,0.02,67
USC00519523,14/12/2010,0.04,71
USC00519523,15/12/2010,0,74
USC00519523,16/12/2010,0,66
USC00519523,17/12/2010,0,66
USC00519523,18/12/2010,0,77
USC00519523,19/12/2010,2.86,70
USC00519523,20/12/2010,4.95,73
USC00519523,21/12/2010,0.63,71
USC00519523,22/12/2010,0.58,71
USC00519523,23/12/2010,0.11,71
USC00519523,24/12/2010,0.02,67
USC00519523,25/12/2010,0.02,71
USC00519523,26/12/2010,0.74,74
USC00519523,27/12/2010,0.09,76
USC00519523,28/12/2010,0.07,72
USC00519523,29/12/2010,0.04,74
USC00519523,30/12/2010,0.27,75
USC00519523,31/12/2010,0.01,69
USC00519523,1/12/2011,0.12,69
USC00519523,2/12/2011,0.42,69
USC00519523,3/12/2011,0.02,75
USC00519523,4/12/2011,0,73
USC00519523,5/12/2011,0,73
USC00519523,6/12/2011,0.01,72
USC00519523,7/12/2011,0,72
USC00519523,8/12/2011,0,72
USC00519523,9/12/2011,0.08,74
USC00519523,10/12/2011,0.07,72
USC00519523,11/12/2011,0.55,73
USC00519523,12/12/2011,0.21,73
USC00519523,13/12/2011,0.39,73
USC00519523,14/12/2011,0.02,73
